genre,counts,genre_group,oscar_bait_genre
Foreign,1241,Foreign,0
Documentary,1121,Documentary,0
Drama,1001,Drama,0
Comedy,736,Comedy,0
Comedy / Drama,254,Comedy,0
Horror,226,Horror/ Thriller/ Sci-Fi,0
Thriller,226,Horror/ Thriller/ Sci-Fi,0
Animation,214,Family/ Animation,0
Romantic Comedy,157,Comedy,0
Action,103,Action/ Adventure,0
Drama / Thriller,96,Drama,0
Romance,95,Other,0
Foreign / Action,74,Action/ Adventure,0
Crime Drama,69,Drama,0
Action / Adventure,66,Action/ Adventure,0
Action Comedy,58,Action/ Adventure,0
Fantasy,56,Other,0
Horror Thriller,54,Horror/ Thriller/ Sci-Fi,0
Sports Drama,50,Drama,0
Period Drama,49,Drama,1
Music Drama,48,Drama,0
Action Thriller,48,Horror/ Thriller/ Sci-Fi,0
Horror Comedy,46,Horror/ Thriller/ Sci-Fi,0
Family Comedy,43,Comedy,0
Crime Thriller,39,Horror/ Thriller/ Sci-Fi,0
Musical,38,Other,0
Family,36,Family/ Animation,0
Action Drama,34,Action/ Adventure,0
Family Adventure,34,Family/ Animation,0
Sci-Fi Action,34,Horror/ Thriller/ Sci-Fi,0
Historical Drama,33,Drama,1
Sci-Fi,30,Horror/ Thriller/ Sci-Fi,0
Adventure,30,Action/ Adventure,0
Concert,27,Other,0
Fantasy Drama,26,Drama,0
Foreign / Horror,24,Horror/ Thriller/ Sci-Fi,0
Crime Comedy,24,Comedy,0
Sci-Fi Thriller,24,Horror/ Thriller/ Sci-Fi,0
IMAX,24,Other,0
War Drama,22,Drama,1
Western,21,Other,0
Action / Crime,20,Action/ Adventure,0
Sports Comedy,20,Comedy,0
Sci-Fi Horror,19,Horror/ Thriller/ Sci-Fi,0
Action Horror,19,Action/ Adventure,0
Unknown,19,NaN,0
Crime,18,Other,0
Fantasy Comedy,17,Other,0
Period Adventure,16,Action/ Adventure,1
War,15,Other,1
Sci-Fi Adventure,12,Horror/ Thriller/ Sci-Fi,0
Sci-Fi Comedy,12,Horror/ Thriller/ Sci-Fi,0
Comedy Thriller,11,Comedy,0
Romantic Thriller,10,Other,0
Adventure Comedy,7,Action/ Adventure,0
Period Action,6,Action/ Adventure,1
Period Comedy,6,Comedy,1
Sci-Fi Fantasy,5,Horror/ Thriller/ Sci-Fi,0
Action Fantasy,4,Action/ Adventure,0
Western Comedy,3,Other,0
Historical Epic,2,Other,1
War Romance,1,Other,1
Romantic Adventure,1,Other,0
Sports Action,1,Action/ Adventure,0
